material_code,ground_truth_cluster_id,category,is_deliberate_negative
IOCL-FLA-1182,53,FLANGE,False
BPCL-FLA-1225,66,FLANGE,False
IOCL-GAS-1275,80,GASKET,False
GAIL-FIT-1390,113,FITTING,False
ONGC-GAS-1273,80,GASKET,False
ONGC-FIT-1388,113,FITTING,False
IOCL-FLA-1178,52,FLANGE,False
ONGC-VAL-1428,9007,VALVE,True
IOCL-FLA-1432,9009,FLANGE,True
BPCL-PIP-1019,6,PIPE,False
BPCL-VAL-1108,32,VALVE,False
IOCL-VAL-1097,29,VALVE,False
ONGC-FAS-1293,86,FASTENER,False
GAIL-FIT-1387,112,FITTING,False
IOCL-VAL-1113,34,VALVE,False
IOCL-FLA-1205,60,FLANGE,False
GAIL-PIP-1064,19,PIPE,False
IOCL-GAS-1266,78,GASKET,False
GAIL-PIP-1070,21,PIPE,False
ONGC-GAS-1244,71,GASKET,False
GAIL-VAL-1159,47,VALVE,False
ONGC-FIT-1361,105,FITTING,False
GAIL-GAS-1286,84,GASKET,False
ONGC-FAS-1318,93,FASTENER,False
ONGC-PIP-1012,4,PIPE,False
BPCL-PIP-1077,23,PIPE,False
BPCL-VAL-1110,33,VALVE,False
BPCL-FLA-1186,54,FLANGE,False
IOCL-FAS-1326,95,FASTENER,False
IOCL-FAS-1329,96,FASTENER,False
BPCL-VAL-1098,29,VALVE,False
ONGC-GAS-1263,77,GASKET,False
ONGC-GAS-1269,79,GASKET,False
IOCL-PIP-1020,7,PIPE,False
ONGC-FAS-1343,100,FASTENER,False
ONGC-VAL-1144,43,VALVE,False
ONGC-GAS-1260,76,GASKET,False
IOCL-PIP-1060,18,PIPE,False
GAIL-PIP-1023,8,PIPE,False
IOCL-GAS-1285,83,GASKET,False
BPCL-GAS-1282,82,GASKET,False
ONGC-VAL-1115,34,VALVE,False
IOCL-PIP-1055,17,PIPE,False
GAIL-FIT-1359,104,FITTING,False
BPCL-VAL-1140,41,VALVE,False
BPCL-FIT-1395,115,FITTING,False
ONGC-FLA-1455,9021,FLANGE,True
IOCL-FIT-1407,118,FITTING,False
GAIL-GAS-1284,83,GASKET,False
GAIL-FIT-1365,106,FITTING,False
BPCL-PIP-1053,16,PIPE,False
GAIL-GAS-1279,82,GASKET,False
ONGC-GAS-1247,72,GASKET,False
IOCL-FLA-1196,57,FLANGE,False
GAIL-FLA-1213,62,FLANGE,False
GAIL-VAL-1131,39,VALVE,False
ONGC-PIP-1062,19,PIPE,False
GAIL-PIP-1037,12,PIPE,False
BPCL-GAS-1274,80,GASKET,False
BPCL-FAS-1295,86,FASTENER,False
