material_code,source_cpse,raw_description
IOCL-FLA-1182,IOCL,C.S. FLANGE WNRF 2 INCH ASTM A105 300 LBS
BPCL-FLA-1225,BPCL,50MM STAINLESS STEEL FLANGE WNRF ASME-B16.5 ASTM A182 F316 150# BIN: 44-A
IOCL-GAS-1275,IOCL,COMPRESSED NON ASBESTOS GASKET CNAF 1.5MM 4 INCH BS 7531 NON-ASBESTOS 150 LBS
GAIL-FIT-1390,GAIL,FITITNG - C.S. - CONCENTRIC REDUCER - AA234 WPB - 150 NB - SCH 40 - NCR REGION
ONGC-GAS-1273,ONGC,"GASKET, CNAF 1.5MM, CNAF, 4"" NOMINAL, BS 7531 NON-ASBESTOS, CLASS 150"
ONGC-FIT-1388,ONGC,"FITTING, CONCENTRIC REDUCER, CS, 6"" X 4"" NOMINAL, ASTM A234 WPB, SCH 40"
IOCL-FLA-1178,IOCL,CARBON STEEL FLANGE WNRF 50NB ASME-B16.5 ASTM A105 150# COMMODITY: PIP-CS
ONGC-VAL-1428,ONGC,"VALVE, BALL, WCB, 2"", API-608 A216 WCB, 600#, API CERT"
IOCL-FLA-1432,IOCL,CARBON STEEL FLANGE WNRF 50NB ASME-B16.5 ASTM A105 600#
BPCL-PIP-1019,BPCL,DN 100 CARBON-STL PIPE ASTM A106 GR B SCH 40 PO# 450091
BPCL-VAL-1108,BPCL,DN200 CS WCB VALVE GATE API 600 A216 WCB 150 LBS INSP REQD
IOCL-VAL-1097,IOCL,WCB VALVE GATE 100NB API-600 A216 WCB 150# STK-CAT: A
ONGC-FAS-1293,ONGC,"FASTENER, STUD BOLT, ALLOY STEEL, 1/2"" X 70MM NOMINAL, ASTM A193 B7"
GAIL-FIT-1387,GAIL,FITTING - C.S. - CONCENTRIC REDUCER - WPB - 100 NB - SCH 40
IOCL-VAL-1113,IOCL,CAST STEEL A216 WCB VALVE BALL 25 NB API 608 A216 WCB CLASS 150
IOCL-FLA-1205,IOCL,CARBON STEEL FLANGE BLRF 100NB ASME-B16.5 ASTM A105 150#
GAIL-PIP-1064,GAIL,PIPE - L.T.C.S. - AA333 GR.6 - 50 NB - SCH 40 - COMPRESSOR STN
IOCL-GAS-1266,IOCL,SS316/PTFE GASKET SWG 50 NB ASME B16.20 SS316 CLASS 150
GAIL-PIP-1070,GAIL,"PIPE - CARBON STEEL - API-5L X52 - 8"" - PSL2 - COMPRESSOR STN"
ONGC-GAS-1244,ONGC,"GASKET, SWG, SPW SS304 GRAPHITE, 2 IN, ASME B16.20 SS304, 150 LBS, API CERT"
GAIL-VAL-1159,GAIL,"VALVE - CI - BUTTERFLY - API-609 IS 210 - 4"" - PN16 RATING - HVJ LINE"
ONGC-FIT-1361,ONGC,"FITTING, ELBOW 90 LR, CS, 2"" NOMINAL, ASTM A234 WPB, SCH 40, API CERT"
GAIL-GAS-1286,GAIL,"GASKET - SS304/GRAPHITE - SWG - ASME B16.20 SS304 - 8"" - CLASS 150"
ONGC-FAS-1318,ONGC,"FASTENER, STUD BOLT, STAINLESS STEEL, 5/8"" X 90MM, ASTM-A193 B8"
ONGC-PIP-1012,ONGC,"PIPE, C.S., 2 IN, AA106 GR.B, SCH 80"
BPCL-PIP-1077,BPCL,DN25 G.I. PIPE IS 1239 HEAVY HEAVY
BPCL-VAL-1110,BPCL,25 MM FORGED CS A105 VALVE GATE API 602 A105 CLASS 800
BPCL-FLA-1186,BPCL,DN80 C.S. FLANGE WNRF ASME B16.5 ASTM A105 150 LBS
IOCL-FAS-1326,IOCL,S.S. FASTENER STUD BOLT 3/4 X 110MM INCH AA193 B8M SEC-4 GUJ REFY
IOCL-FAS-1329,IOCL,S.S. FASTENER STUD BOLT 1 X 150MM INCH AA193 B8M
BPCL-VAL-1098,BPCL,DN100 CS WCB VALVE GATE A216 WCB 150 LBS KOCHI REFY STK
ONGC-GAS-1263,ONGC,"GASKET, SWG, SS316/GRAPHITE, 4"" NOMINAL, ASME B16.20 SS316, CLASS 150"
ONGC-GAS-1269,ONGC,"GASKET, CNAF 1.5MM, CNAF, 2"" NOMINAL, BS 7531 NON-ASBESTOS, CLASS 150"
IOCL-PIP-1020,IOCL,CS PIPE 100 NB SCH 80 ASTM A106 GR B
ONGC-FAS-1343,ONGC,"FASTENER, HEX BOLT, CS, M16 X 60MM NOMINAL, IS 1367 8.8"
ONGC-VAL-1144,ONGC,"VALVE, GLOBE, FORGED CS A105, 1"" NOMINAL, API 602 A105, CLASS 800"
ONGC-GAS-1260,ONGC,"GASKET, SWG, SS 316 W/ GRAPHITE, 2"", ASME-B16.20 SS316, 150#"
IOCL-PIP-1060,IOCL,S.S. PIPE 6 INCH SCH 40S AA312 316 TAG# 1024
GAIL-PIP-1023,GAIL,"PIPE - CS - ASTM A106 GR B - 6"" - SCH 40"
IOCL-GAS-1285,IOCL,STAINLESS STEEL 316 GASKET RTJ R37 4 INCH ASME B16.20 SS316 600 LBS TAG# 1024
BPCL-GAS-1282,BPCL,DN 50 LOW CARBON SOFT IRON GASKET RTJ R24 ASME B16.20 ARMCO CL 600
ONGC-VAL-1115,ONGC,"VALVE, BALL, CS WCB, 1 IN, API 608 A216 WCB, 150 LBS"
IOCL-PIP-1055,IOCL,SS PIPE 80 NB SCH 40S ASTM A312 316
GAIL-FIT-1359,GAIL,"FITTING - CARBON STEEL - ELBOW 90 LR - ASTM-A234 WPB - 1"" - SCH 40"
BPCL-VAL-1140,BPCL,DN 50 ASTM A216 WCB VALVE GLOBE BS 1873 A216 WCB CL 150
BPCL-FIT-1395,BPCL,50MM STAINLESS STEEL FITTING ELBOW 90 LR ASTM-A403 WP316 SCH 40S
ONGC-FLA-1455,ONGC,"FLANGE, SORF, CS, 2"" NOMINAL, ASME B16.5 ASTM A105, CLASS 150, DRILLING OP"
IOCL-FIT-1407,IOCL,C.S. FITTING UNION 1 INCH ASME B16.11 ASTM A105 3000 LBS
GAIL-GAS-1284,GAIL,"GASKET - SS 316 - RTJ R37 - ASME-B16.20 SS316 - 4"" - 600# - COMPRESSOR STN"
GAIL-FIT-1365,GAIL,"FITTING - CS - ELBOW 90 LR - ASTM A234 WPB - 3"" - SCH 40"
BPCL-PIP-1053,BPCL,DN50 S.S. PIPE AA312 316 SCH 40S
GAIL-GAS-1279,GAIL,"GASKET - SOFT IRON - RTJ R24 - ASME B16.20 ARMCO - 2"" - CLASS 600"
ONGC-GAS-1247,ONGC,"GASKET, SWG, SS 304 W/ GRAPHITE, 2"", ASME-B16.20 SS304, 300#"
IOCL-FLA-1196,IOCL,C.S. FLANGE WNRF 6 INCH ASME B16.5 ASTM A105 150 LBS
GAIL-FLA-1213,GAIL,FLANGE - CARBON-STL - SORF - ASME B16.5 ASTM A105 - DN50 - CL 150
GAIL-VAL-1131,GAIL,"VALVE - STAINLESS STEEL - BALL - API-608 CF8M - 2"" - 150#"
ONGC-PIP-1062,ONGC,"PIPE, LTCS, 2"" NOMINAL, ASTM A333 GR 6, SCH 40, API CERT"
